date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:56:37	322/322	---M--	200	added ('OK')	text/plain	date:Tue,%2027%20Jun%202023%2001:21:17%20GMT	https://chukaokoro.wixsite.com/robots.txt		(from )
00:56:38	745240/745240	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Jun%202023%2001:21:17%20GMT	https://chukaokoro.wixsite.com/transez-nigeria-limi	C:/Users/Main%20PC/Documents/Work%20Folders/Transez%20Technology%20Inc%20Canada/2021%20Incorporation/Websites/new_transez_wix/chukaokoro.wixsite.com/transez-nigeria-limi.html	(from )
00:56:39	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/Users/Main%20PC/Documents/Work%20Folders/Transez%20Technology%20Inc%20Canada/2021%20Incorporation/Websites/new_transez_wix/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://chukaokoro.wixsite.com/transez-nigeria-limi)
00:56:39	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/Users/Main%20PC/Documents/Work%20Folders/Transez%20Technology%20Inc%20Canada/2021%20Incorporation/Websites/new_transez_wix/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://chukaokoro.wixsite.com/transez-nigeria-limi)
00:56:39	65588/65588	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2003%20May%202023%2000:17:37%20GMT	https://polyfill.io/v3/polyfill.min.js?features=fetch	C:/Users/Main%20PC/Documents/Work%20Folders/Transez%20Technology%20Inc%20Canada/2021%20Incorporation/Websites/new_transez_wix/polyfill.io/v3/polyfill.mind82c.js	(from https://chukaokoro.wixsite.com/transez-nigeria-limi)
00:56:39	65254/65254	---M-Z	200	added ('OK')	application/javascript	etag:%225b6773578af8dd5591339930c2b29024%22	https://browser.sentry-cdn.com/6.18.2/bundle.min.js	C:/Users/Main%20PC/Documents/Work%20Folders/Transez%20Technology%20Inc%20Canada/2021%20Incorporation/Websites/new_transez_wix/browser.sentry-cdn.com/6.18.2/bundle.min.js	(from https://chukaokoro.wixsite.com/transez-nigeria-limi)
00:56:40	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2027%20Jun%202023%2001:21:20%20GMT	https://chukaokoro.wixsite.com/decodeURIComponent(e	C:/Users/Main%20PC/Documents/Work%20Folders/Transez%20Technology%20Inc%20Canada/2021%20Incorporation/Websites/new_transez_wix/chukaokoro.wixsite.com/decodeURIComponent(e	(from https://chukaokoro.wixsite.com/transez-nigeria-limi)
00:56:40	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2027%20Jun%202023%2001:21:20%20GMT	https://chukaokoro.wixsite.com/sitemap.xml	C:/Users/Main%20PC/Documents/Work%20Folders/Transez%20Technology%20Inc%20Canada/2021%20Incorporation/Websites/new_transez_wix/chukaokoro.wixsite.com/sitemap.xml	(from https://chukaokoro.wixsite.com/transez-nigeria-limi)
00:56:41	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2027%20Jun%202023%2001:21:20%20GMT	https://chukaokoro.wixsite.com/feed.xml	C:/Users/Main%20PC/Documents/Work%20Folders/Transez%20Technology%20Inc%20Canada/2021%20Incorporation/Websites/new_transez_wix/chukaokoro.wixsite.com/feed.xml	(from https://chukaokoro.wixsite.com/transez-nigeria-limi)
19:21:21	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2027%20Jun%202023%2001:21:21%20GMT	https://chukaokoro.wixsite.com/	C:/Users/Main%20PC/Documents/Work%20Folders/Transez%20Technology%20Inc%20Canada/2021%20Incorporation/Websites/new_transez_wix/chukaokoro.wixsite.com/index.html	(from https://chukaokoro.wixsite.com/transez-nigeria-limi)
